time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
212992,324,20.06,83.27,657,104,0.03779296875,0.6512948274612427,8.06298291683197,0.2,0.0003,4.484591007232666,-0.10639075180515647,1030,-0.015606544085312635,0.0066929325
215040,326,21.04,90.33,658,105,0.034375,0.6602643728256226,7.79204974770546,0.2,0.0003,3.64811635017395,-0.09894210575148463,1040,-0.012429790990427136,0.0061487295
217088,329,20.81,81.65,659,106,0.04296875,0.6024148464202881,8.863512086868287,0.2,0.0003,4.375997066497803,-0.10409027645364403,1050,-0.015269256191095338,0.0064109312
219136,331,19.28,79.1,660,107,0.03779296875,0.6576045751571655,7.812486732006073,0.2,0.0003,3.6798360347747803,-0.10043592927977443,1060,-0.015086970163974912,0.0061568427
221184,335,20.06,83.07,660,108,0.04189453125,0.6502636671066284,7.8327912271022795,0.2,0.0003,4.645989418029785,-0.09838012382388114,1070,-0.017800304357660935,0.009117607
223232,339,19.93,82.98,658,109,0.049755859375,0.7001396417617798,7.318865776062012,0.2,0.0003,4.947531223297119,-0.09954546615481377,1080,-0.01632677157758735,0.010805663
225280,342,20.2,81.62,657,110,0.048779296875,0.6371705532073975,7.93138342499733,0.2,0.0003,3.3268373012542725,-0.11339165903627872,1090,-0.016308685415424407,0.007177047
227328,345,20.68,89.92,658,111,0.049072265625,0.6499899625778198,7.828844755887985,0.2,0.0003,4.111950874328613,-0.10622550686821342,1100,-0.01887520372401923,0.010339078
229376,347,19.77,79.6,659,112,0.032958984375,0.6464086771011353,8.278810048103333,0.2,0.0003,3.2188661098480225,-0.10383627051487565,1110,-0.012638947693631053,0.004876063
231424,350,20.31,87.48,660,113,0.03720703125,0.6611036062240601,7.377816510200501,0.2,0.0003,3.4455368518829346,-0.09671309115365148,1120,-0.012815030905767345,0.005382597
233472,353,20.28,81.58,660,114,0.039501953125,0.6854855418205261,7.514516341686249,0.2,0.0003,4.2838006019592285,-0.09588720574975014,1130,-0.01571228898537811,0.005837694
235520,356,20.06,88.2,660,115,0.038037109375,0.6422919034957886,7.090912574529648,0.2,0.0003,3.2180581092834473,-0.0933812664821744,1140,-0.014589442120632156,0.0073761228
237568,359,19.47,83.3,660,116,0.033544921875,0.618760883808136,9.112595492601395,0.2,0.0003,4.276778221130371,-0.10606801519170403,1150,-0.013105678791180252,0.004708805
239616,361,20.04,80.84,662,117,0.045263671875,0.6527339220046997,8.453804475069045,0.2,0.0003,3.844303607940674,-0.10125773809850216,1160,-0.015950526704546063,0.009566277
241664,364,20.34,90.68,662,118,0.032421875,0.6437554359436035,8.072460168600083,0.2,0.0003,2.951495885848999,-0.09560124045237899,1170,-0.014670696164830587,0.0045320396
243712,367,20.13,89.65,663,119,0.035205078125,0.6067036986351013,8.406582760810853,0.2,0.0003,3.9910497665405273,-0.10097693270072342,1180,-0.012834903673501685,0.004504191
245760,370,19.06,82.2,663,120,0.040576171875,0.6279594898223877,8.408435934782029,0.2,0.0003,4.8289794921875,-0.10033354666084052,1190,-0.014477963995886967,0.0065081716
247808,373,20.88,85.38,662,121,0.039111328125,0.609279215335846,8.666512590646743,0.2,0.0003,7.292116165161133,-0.10621045771986246,1200,-0.015239703824045136,0.009218732
249856,376,21.41,79.86,663,122,0.034033203125,0.6454272270202637,7.506322956085205,0.2,0.0003,3.159937858581543,-0.10063653504475951,1210,-0.013555495231412352,0.005150575
251904,379,19.03,85.89,664,123,0.045166015625,0.6565176248550415,6.562244188785553,0.2,0.0003,2.495363235473633,-0.08855702583678067,1220,-0.01613563208375126,0.00932117
253952,381,20.89,82.47,665,124,0.038232421875,0.649089515209198,7.4612600147724155,0.2,0.0003,2.535501003265381,-0.09753191713243722,1230,-0.013128622656222434,0.006330063
256000,384,20.41,92.44,665,125,0.042529296875,0.5900244116783142,7.997801446914673,0.2,0.0003,4.0003767013549805,-0.09907255051657557,1240,-0.014529829783714376,0.005521251
258048,388,20.16,89.04,664,126,0.04287109375,0.6522870063781738,7.866355913877487,0.2,0.0003,4.032113552093506,-0.09683004328981042,1250,-0.01633110559778288,0.009299548
260096,390,21.2,89.57,665,127,0.041796875,0.6808775663375854,7.578922247886657,0.2,0.0003,3.7503795623779297,-0.09525443380698562,1260,-0.014568520011380315,0.009146562
262144,393,19.93,84.18,665,128,0.039453125,0.6699920296669006,7.108496087789535,0.2,0.0003,3.5609848499298096,-0.09578920397907495,1270,-0.014331360589130782,0.007822548
264192,396,20.09,82.72,666,129,0.03408203125,0.6118608713150024,7.470238548517227,0.2,0.0003,3.2380194664001465,-0.09414118817076086,1280,-0.014684820570982993,0.007944057
266240,398,19.38,82.4,667,130,0.0447265625,0.6148005127906799,8.005638444423676,0.2,0.0003,4.979023456573486,-0.1023879854939878,1290,-0.014945024318876676,0.008574367
268288,402,21.1,87.34,665,131,0.037451171875,0.6660788059234619,7.820614385604858,0.2,0.0003,4.3529438972473145,-0.09490454411134124,1300,-0.013776057233917527,0.004873127
270336,405,20.08,86.68,666,132,0.039501953125,0.6968850493431091,7.196794492006302,0.2,0.0003,3.4521684646606445,-0.08615675764158368,1310,-0.01469966970034875,0.0076424885
272384,408,21.6,87.68,667,133,0.038623046875,0.6593039035797119,7.883105909824371,0.2,0.0003,3.6044766902923584,-0.09054273967631161,1320,-0.014117184764472768,0.0061590164
274432,410,20.52,83.82,667,134,0.034521484375,0.6733026504516602,6.996329301595688,0.2,0.0003,3.187589406967163,-0.07796166730113327,1330,-0.014241650071926414,0.005927145
276480,413,20.99,85.72,668,135,0.039306640625,0.6707133650779724,6.899114501476288,0.2,0.0003,2.7601256370544434,-0.08693948350846767,1340,-0.014220962092804258,0.0064135445
278528,416,20.33,93.87,669,136,0.0373046875,0.648016631603241,6.878704142570496,0.2,0.0003,3.4183640480041504,-0.08573935413733125,1350,-0.01675734840100631,0.0073361387
280576,419,21.35,91.3,668,137,0.040966796875,0.6698381900787354,7.875557297468186,0.2,0.0003,3.4948599338531494,-0.09417170928791166,1360,-0.013457663846202195,0.006525148
282624,422,20.38,81.84,669,138,0.04580078125,0.6705129742622375,7.113945096731186,0.2,0.0003,2.620007276535034,-0.09205438336357474,1370,-0.01658339165151119,0.009701303
284672,424,21.58,90.8,669,139,0.04013671875,0.6677650213241577,7.002995437383651,0.2,0.0003,2.9876418113708496,-0.08607663903385401,1380,-0.01466387776308693,0.007298016
286720,427,21.28,92.44,670,140,0.0384765625,0.6502509117126465,7.364791041612625,0.2,0.0003,3.1310064792633057,-0.08675299594178795,1390,-0.013197788596153259,0.0071469285
288768,430,18.82,75.42,671,141,0.0361328125,0.6578887701034546,7.768333512544632,0.2,0.0003,4.355876445770264,-0.08321495340205728,1400,-0.01516519220895134,0.009365005
290816,432,21.4,88.61,671,142,0.035302734375,0.6586841344833374,7.38922016620636,0.2,0.0003,3.5071287155151367,-0.08225201973691583,1410,-0.013924063369631767,0.006554024
292864,436,20.28,90.08,671,143,0.04033203125,0.6464353799819946,7.359598004817963,0.2,0.0003,3.8910107612609863,-0.09185888804495335,1420,-0.014383301814086735,0.010672582
294912,438,20.59,90.45,672,144,0.041845703125,0.6394449472427368,7.536271339654922,0.2,0.0003,3.3127965927124023,-0.08605372058227659,1430,-0.01602836368838325,0.0067620613
296960,441,20.35,89.48,672,145,0.04306640625,0.6814236640930176,7.362665230035782,0.2,0.0003,3.3451952934265137,-0.09152119886130095,1440,-0.016690599429421128,0.00949596
299008,443,20.63,80.36,673,146,0.0404296875,0.7099008560180664,6.7532372057437895,0.2,0.0003,2.981797695159912,-0.07913746847771108,1450,-0.01508052583958488,0.010691142
301056,446,21.03,93.29,674,147,0.03955078125,0.6653732061386108,6.803622168302536,0.2,0.0003,3.9806716442108154,-0.08740682862699031,1460,-0.013002997025614605,0.008923368
